Feature Id,Importances
data_channel,9.427716015090128
weekday,6.2196133211437825
self_reference_min_shares,4.734511986393174
kw_avg_avg,4.406802977172755
kw_min_avg,3.851843197531559
kw_max_avg,3.79897056922308
self_reference_avg_sharess,3.3472744334143743
LDA_01,3.135125392531184
LDA_04,2.8162381504139393
LDA_00,2.5146969217847976
self_reference_max_shares,2.4663184145406194
LDA_02,2.449127088277371
n_unique_tokens,2.4352785694421604
kw_avg_min,2.249892463664075
kw_max_max,2.242655674207175
feat_content_to_img_ratio,2.2264230549739503
global_subjectivity,2.205228303434191
LDA_03,2.199051880587433
num_hrefs,2.041951389097251
min_positive_polarity,1.8444405685753058
kw_avg_max,1.8332552387116807
kw_max_min,1.654216353449975
kw_min_min,1.633773732716659
num_imgs,1.6285512514819966
n_tokens_content,1.6241646672045291
n_non_stop_unique_tokens,1.6095829275433668
title_sentiment_polarity,1.547437299669864
global_rate_positive_words,1.5402680583452224
title_subjectivity,1.5244506243427984
average_token_length,1.5138204082062028
n_tokens_title,1.4767684000136014
avg_positive_polarity,1.3725490388309696
feat_content_to_href_ratio,1.3546806693872748
abs_title_subjectivity,1.3375363140633505
global_rate_negative_words,1.290379507813702
rate_negative_words,1.130338828385914
avg_negative_polarity,1.0861718644729392
feat_global_sentiment_strength,1.033466698288335
num_videos,0.8880628820436597
num_self_hrefs,0.8734359673903361
num_keywords,0.8525038021061051
min_negative_polarity,0.8328921349031181
global_sentiment_polarity,0.8001409943023068
max_negative_polarity,0.7751193724524654
rate_positive_words,0.7030379944477515
kw_min_max,0.645527965764435
max_positive_polarity,0.4195395714997331
abs_title_sentiment_polarity,0.40516706066340746
n_non_stop_words,0.0
