feature,importance_mean,importance_std
n_tokens_title,0.001320615429952654,0.0015045371277764678
n_tokens_content,0.0007105814826164458,0.0021392339951129104
n_unique_tokens,0.0027392201068546563,0.0008371172103647011
n_non_stop_words,0.0,0.0
n_non_stop_unique_tokens,0.003083512024256918,0.0005734159052077053
num_hrefs,0.004511214284596443,0.0015420073168972252
num_self_hrefs,0.000169382453534217,0.001320486513470225
num_imgs,0.005728001265458626,0.0008238380262744723
num_videos,-0.0014923683590533977,0.000935092822536759
average_token_length,0.00338427546111113,0.0017038924347601298
num_keywords,0.00011846829290396155,0.0005758542442764268
kw_min_min,0.0005453988730005799,0.001131547535841202
kw_max_min,0.002231353142943826,0.0006837797733229376
kw_avg_min,0.0010816036275922204,0.002362645118554254
kw_min_max,0.0004217402688015071,0.0008575113506193896
kw_max_max,0.007930353948967617,0.0024408995526370826
kw_avg_max,0.002093011276465795,0.0017081512792385246
kw_min_avg,0.009803510514515867,0.002953579055158216
kw_max_avg,0.008808395599824603,0.00116204603626076
kw_avg_avg,0.015238995038368763,0.0016841296992748099
self_reference_min_shares,0.016802118266404365,0.002620017705089031
self_reference_max_shares,0.004444785944408847,0.0018863534460909677
self_reference_avg_sharess,0.01278054017057446,0.002084674155357558
LDA_00,0.0034823316989935015,0.0011452595969998008
LDA_01,0.0035215188527489617,0.0022289364999245683
LDA_02,0.0013679958229605217,0.0022421712389961474
LDA_03,0.0030385860206212146,0.0007945982606303354
LDA_04,0.005741542931752797,0.001654481864093762
global_subjectivity,0.0030548963022200447,0.0010967682841965302
global_sentiment_polarity,0.002683106472133212,0.0018203223263821445
global_rate_positive_words,0.0030166773705195384,0.0006244028376637111
global_rate_negative_words,0.0045537961325786466,0.0017870122366639375
rate_positive_words,0.0009837074997727457,0.001063480684316594
rate_negative_words,0.0009814678477874316,0.000966376543220282
avg_positive_polarity,0.0023928499954876557,0.0006550265899879684
min_positive_polarity,0.005030112308350976,0.0013524869739059058
max_positive_polarity,0.0002512464210041365,0.0004676199025688596
avg_negative_polarity,0.0017013659783719603,0.0010489140846384254
min_negative_polarity,0.0002988845308560917,0.0008848985452276601
max_negative_polarity,-0.0005712193467614979,0.0009908842697657482
title_subjectivity,0.0019007092944444358,0.0014911382551506614
title_sentiment_polarity,0.0027195120138032046,0.0009380369126230114
abs_title_subjectivity,0.0008031219901188491,0.0010312275568027734
abs_title_sentiment_polarity,0.00015003417820786958,0.00022618886424860017
data_channel,0.027065880976031707,0.00376378281240471
weekday,0.01665611135760814,0.001175450997864715
feat_content_to_img_ratio,0.0025928239438752555,0.001292180674887716
feat_global_sentiment_strength,0.001691711981959565,0.0010321888414972428
feat_content_to_href_ratio,0.0037614572608666076,0.0016314451585453668
