Feature Id,Importances
data_channel,8.118858753726906
weekday,6.53261359393381
kw_avg_avg,5.110149435181125
kw_min_avg,4.211887068203271
self_reference_min_shares,3.9320048593318524
kw_max_avg,3.875218897941766
self_reference_avg_sharess,3.5810057516112392
LDA_00,3.2325133878150183
LDA_01,3.031921068226541
LDA_04,2.7522749247841993
n_unique_tokens,2.570229767122305
n_non_stop_unique_tokens,2.5296419765109213
kw_avg_min,2.4911794346076093
feat_content_to_img_ratio,2.4660964330879427
kw_max_max,2.4082523104130558
self_reference_max_shares,2.3567250641163633
LDA_02,2.1651820742715406
num_imgs,2.1544500850565504
LDA_03,2.1270148750176334
kw_avg_max,1.9531097089543774
global_subjectivity,1.8713575363465038
title_sentiment_polarity,1.847448313433702
global_rate_negative_words,1.8081091123652988
num_hrefs,1.7968122264041952
min_positive_polarity,1.763960896790337
n_tokens_content,1.710584171188016
average_token_length,1.7039338364295773
kw_min_min,1.563173305936938
feat_content_to_href_ratio,1.4856612626277228
kw_max_min,1.4134735247846313
n_tokens_title,1.3827298463626256
num_keywords,1.2539234144564404
avg_positive_polarity,1.1843825267341699
title_subjectivity,1.1625064336524713
num_videos,0.9662056487313204
global_sentiment_polarity,0.9520261522594574
num_self_hrefs,0.9369850167684033
abs_title_subjectivity,0.9012483364033608
global_rate_positive_words,0.877754674343384
kw_min_max,0.8765619871838938
max_negative_polarity,0.8512766351445169
rate_negative_words,0.8481463159280804
feat_global_sentiment_strength,0.8415378747210649
min_negative_polarity,0.7650279433989614
rate_positive_words,0.7272122509086609
avg_negative_polarity,0.6211868990242911
abs_title_sentiment_polarity,0.15273697162916908
max_positive_polarity,0.1337074161288237
n_non_stop_words,0.0
